model,horizon,split,threshold,train_size,val_size,test_size,ensemble,accuracy,precision,recall,f1,roc_auc
rnn,60d,75/25,0.05,61059,15265,25442,False,0.4609,0.4609,1.0,0.631,0.655
gb_ensemble,60d,75/25,0.05,61059,15265,25442,True,0.4609,0.4609,1.0,0.631,0.6967
tri_ensemble,60d,75/25,0.05,61059,15265,25442,True,0.4609,0.4609,1.0,0.631,0.676
logreg,60d,65/35,0.05,52917,13230,35619,False,0.4609,0.4609,1.0,0.631,0.6632
rf,60d,65/35,0.05,52917,13230,35619,False,0.4609,0.4609,1.0,0.631,0.6761
xgboost,60d,65/35,0.05,52917,13230,35619,False,0.4779,0.4689,0.9999,0.6384,0.6966
lightgbm,60d,65/35,0.05,52917,13230,35619,False,0.4609,0.4609,1.0,0.631,0.6717
catboost,60d,65/35,0.05,52917,13230,35619,False,0.4653,0.4629,1.0,0.6329,0.6966
rnn,60d,65/35,0.05,52917,13230,35619,False,0.4609,0.4609,1.0,0.631,0.6531
gb_ensemble,60d,65/35,0.05,52917,13230,35619,True,0.4609,0.4609,1.0,0.631,0.6988
tri_ensemble,60d,65/35,0.05,52917,13230,35619,True,0.4609,0.4609,1.0,0.631,0.6778
logreg,60d,60/40,0.05,48847,12212,40707,False,0.4609,0.4609,1.0,0.631,0.6626
rf,60d,60/40,0.05,48847,12212,40707,False,0.4609,0.4609,1.0,0.631,0.6757
xgboost,60d,60/40,0.05,48847,12212,40707,False,0.4782,0.469,0.9997,0.6385,0.6944
lightgbm,60d,60/40,0.05,48847,12212,40707,False,0.4609,0.4609,1.0,0.631,0.6707
catboost,60d,60/40,0.05,48847,12212,40707,False,0.4625,0.4616,1.0,0.6317,0.6955
rnn,60d,60/40,0.05,48847,12212,40707,False,0.4609,0.4609,1.0,0.631,0.6546
gb_ensemble,60d,60/40,0.05,48847,12212,40707,True,0.4609,0.4609,1.0,0.631,0.698
tri_ensemble,60d,60/40,0.05,48847,12212,40707,True,0.4609,0.4609,1.0,0.631,0.6782
logreg,60d,60/20/20,0.05,61059,20353,20354,False,0.4609,0.4609,1.0,0.631,0.6626
rf,60d,60/20/20,0.05,61059,20353,20354,False,0.4609,0.4609,1.0,0.631,0.6735
xgboost,60d,60/20/20,0.05,61059,20353,20354,False,0.4785,0.4691,0.9997,0.6386,0.6976
lightgbm,60d,60/20/20,0.05,61059,20353,20354,False,0.4609,0.4609,1.0,0.631,0.6713
catboost,60d,60/20/20,0.05,61059,20353,20354,False,0.4617,0.4613,1.0,0.6313,0.6951
rnn,60d,60/20/20,0.05,61059,20353,20354,False,0.4609,0.4609,1.0,0.631,0.6527
gb_ensemble,60d,60/20/20,0.05,61059,20353,20354,True,0.4609,0.4609,1.0,0.631,0.6988
tri_ensemble,60d,60/20/20,0.05,61059,20353,20354,True,0.4609,0.4609,1.0,0.631,0.6774
logreg,60d,70/15/15,0.05,71236,15264,15266,False,0.4609,0.4609,1.0,0.631,0.6686
rf,60d,70/15/15,0.05,71236,15264,15266,False,0.4609,0.4609,1.0,0.631,0.6804
xgboost,60d,70/15/15,0.05,71236,15264,15266,False,0.4783,0.4691,0.9996,0.6385,0.7007
lightgbm,60d,70/15/15,0.05,71236,15264,15266,False,0.4609,0.4609,1.0,0.631,0.6773
catboost,60d,70/15/15,0.05,71236,15264,15266,False,0.4688,0.4646,1.0,0.6344,0.7005
rnn,60d,70/15/15,0.05,71236,15264,15266,False,0.4609,0.4609,1.0,0.631,0.6594
gb_ensemble,60d,70/15/15,0.05,71236,15264,15266,True,0.4609,0.4609,1.0,0.631,0.7026
tri_ensemble,60d,70/15/15,0.05,71236,15264,15266,True,0.4609,0.4609,1.0,0.631,0.6833
logreg,90d,80/20,0.05,65129,16283,20354,False,0.4609,0.4609,1.0,0.631,0.6624
rf,90d,80/20,0.05,65129,16283,20354,False,0.4609,0.4609,1.0,0.631,0.6738
xgboost,90d,80/20,0.05,65129,16283,20354,False,0.4777,0.4688,0.9996,0.6382,0.6968
lightgbm,90d,80/20,0.05,65129,16283,20354,False,0.4609,0.4609,1.0,0.631,0.6713
catboost,90d,80/20,0.05,65129,16283,20354,False,0.4666,0.4635,1.0,0.6334,0.6938
rnn,90d,80/20,0.05,65129,16283,20354,False,0.4609,0.4609,1.0,0.631,0.6562
gb_ensemble,90d,80/20,0.05,65129,16283,20354,True,0.4609,0.4609,1.0,0.631,0.6974
tri_ensemble,90d,80/20,0.05,65129,16283,20354,True,0.4609,0.4609,1.0,0.631,0.6771
logreg,90d,70/30,0.05,56988,14248,30530,False,0.4609,0.4609,1.0,0.631,0.6626
rf,90d,70/30,0.05,56988,14248,30530,False,0.4609,0.4609,1.0,0.631,0.6753
xgboost,90d,70/30,0.05,56988,14248,30530,False,0.4779,0.4688,0.9997,0.6383,0.6979
lightgbm,90d,70/30,0.05,56988,14248,30530,False,0.4609,0.4609,1.0,0.631,0.6718
catboost,90d,70/30,0.05,56988,14248,30530,False,0.465,0.4628,1.0,0.6328,0.6972
rnn,90d,70/30,0.05,56988,14248,30530,False,0.4609,0.4609,1.0,0.631,0.6538
gb_ensemble,90d,70/30,0.05,56988,14248,30530,True,0.4609,0.4609,1.0,0.631,0.6998
tri_ensemble,90d,70/30,0.05,56988,14248,30530,True,0.4609,0.4609,1.0,0.631,0.6785
logreg,90d,75/25,0.05,61059,15265,25442,False,0.4609,0.4609,1.0,0.631,0.6602
rf,90d,75/25,0.05,61059,15265,25442,False,0.4609,0.4609,1.0,0.631,0.673
xgboost,90d,75/25,0.05,61059,15265,25442,False,0.4764,0.4681,0.9997,0.6377,0.6952
lightgbm,90d,75/25,0.05,61059,15265,25442,False,0.4609,0.4609,1.0,0.631,0.671
catboost,90d,75/25,0.05,61059,15265,25442,False,0.4689,0.4646,1.0,0.6344,0.6949
rnn,90d,75/25,0.05,61059,15265,25442,False,0.4609,0.4609,1.0,0.631,0.6515
gb_ensemble,90d,75/25,0.05,61059,15265,25442,True,0.4609,0.4609,1.0,0.631,0.6967
tri_ensemble,90d,75/25,0.05,61059,15265,25442,True,0.4609,0.4609,1.0,0.631,0.6743
logreg,90d,65/35,0.05,52917,13230,35619,False,0.4609,0.4609,1.0,0.631,0.6632
rf,90d,65/35,0.05,52917,13230,35619,False,0.4609,0.4609,1.0,0.631,0.6761
xgboost,90d,65/35,0.05,52917,13230,35619,False,0.4779,0.4689,0.9999,0.6384,0.6966
lightgbm,90d,65/35,0.05,52917,13230,35619,False,0.4609,0.4609,1.0,0.631,0.6717
catboost,90d,65/35,0.05,52917,13230,35619,False,0.4653,0.4629,1.0,0.6329,0.6966
rnn,90d,65/35,0.05,52917,13230,35619,False,0.4609,0.4609,1.0,0.631,0.6533
gb_ensemble,90d,65/35,0.05,52917,13230,35619,True,0.4609,0.4609,1.0,0.631,0.6988
tri_ensemble,90d,65/35,0.05,52917,13230,35619,True,0.4609,0.4609,1.0,0.631,0.6778
logreg,90d,60/40,0.05,48847,12212,40707,False,0.4609,0.4609,1.0,0.631,0.6626
